Date,MaxT,MinT,AvgT,Tdeparture,HDD,CDD,Precipitation,New Snow,Snow Depth
1/1/2021,35,24,29.5,1.8,35,0,0.31,0.5,1
1/2/2021,36,30,33,5.5,32,0,T,T,1
1/3/2021,34,27,30.5,3.2,34,0,0.05,0.6,1
1/4/2021,31,25,28,0.8,37,0,T,T,1
1/5/2021,37,29,33,6,32,0,T,T,1
1/6/2021,40,29,34.5,7.7,30,0,0,0,1
1/7/2021,39,35,37,10.3,28,0,0,0,T
1/8/2021,36,31,33.5,7,31,0,T,T,T
1/9/2021,39,26,32.5,6.1,32,0,0,0,T
1/10/2021,31,25,28,1.7,37,0,0,0,T
1/11/2021,30,22,26,-0.2,39,0,T,T,T
1/12/2021,39,26,32.5,6.4,32,0,0,0,T
1/13/2021,42,31,36.5,10.5,28,0,0,0,0
1/14/2021,41,33,37,11.1,28,0,0.17,T,0
1/15/2021,38,28,33,7.2,32,0,T,T,0
1/16/2021,37,28,32.5,6.8,32,0,0.07,1.4,T
1/17/2021,34,28,31,5.3,34,0,0.05,0.7,T
1/18/2021,30,24,27,1.4,38,0,T,T,T
1/19/2021,33,20,26.5,0.9,38,0,0.05,0.8,1
1/20/2021,35,14,24.5,-1,40,0,T,T,1
1/21/2021,42,31,36.5,11,28,0,0,0,T
1/22/2021,31,13,22,-3.5,43,0,0,0,T
1/23/2021,31,11,21,-4.6,44,0,0,0,0
1/24/2021,35,27,31,5.4,34,0,T,0.1,0
1/25/2021,34,30,32,6.4,33,0,0.1,1.5,2
1/26/2021,33,26,29.5,3.8,35,0,0.18,3,4
1/27/2021,28,15,21.5,-4.3,43,0,T,T,4
1/28/2021,26,11,18.5,-7.3,46,0,0,0,4
1/29/2021,32,19,25.5,-0.4,39,0,0,0,3
1/30/2021,34,29,31.5,5.4,33,0,0.52,5.3,9
1/31/2021,34,29,31.5,5.3,33,0,0.5,6,15
2/1/2021,34,23,28.5,2.2,36,0,0,0,13
2/2/2021,33,21,27,0.5,38,0,0,0,11
2/3/2021,36,17,26.5,-0.2,38,0,0,0,10
2/4/2021,39,19,29,2.1,36,0,0.27,2.9,11
2/5/2021,19,9,14,-13.1,51,0,T,T,10
2/6/2021,14,4,9,-18.3,56,0,0.05,0.8,10
2/7/2021,6,-6,0,-27.5,65,0,0,0,10
2/8/2021,15,2,8.5,-19.2,56,0,0.11,3.8,14
2/9/2021,19,3,11,-17,54,0,T,T,12
2/10/2021,17,7,12,-16.3,53,0,0.03,0.5,11
2/11/2021,24,5,14.5,-14,50,0,0.01,0.2,11
2/12/2021,21,9,15,-13.8,50,0,0.02,0.4,11
2/13/2021,14,0,7,-22.1,58,0,0.17,3.1,14
2/14/2021,6,-3,1.5,-27.9,63,0,0.03,0.6,13
2/15/2021,18,1,9.5,-20.2,55,0,0.5,15.9,26
2/16/2021,22,8,15,-15.1,50,0,0.06,1.2,26
2/17/2021,24,6,15,-15.4,50,0,0,0,21
2/18/2021,26,15,20.5,-10.2,44,0,0.06,1.3,21
2/19/2021,21,7,14,-17.1,51,0,T,T,19
2/20/2021,29,4,16.5,-14.9,48,0,0,0,18
2/21/2021,38,19,28.5,-3.3,36,0,0.19,0.8,16
2/22/2021,40,26,33,0.9,32,0,T,T,14
2/23/2021,46,36,41,8.5,24,0,0,0,9
2/24/2021,45,32,38.5,5.7,26,0,0,0,4
2/25/2021,40,24,32,-1.2,33,0,0,0,4
2/26/2021,42,24,33,-0.6,32,0,0.03,T,2
2/27/2021,50,34,42,8.1,23,0,0.01,T,1
2/28/2021,49,34,41.5,7.2,23,0,0.08,0,1
3/1/2021,35,24,29.5,-5.2,35,0,0,0,T
3/2/2021,44,22,33,-2,32,0,0,0,0
3/3/2021,60,35,47.5,12.1,17,0,0,0,0
3/4/2021,39,30,34.5,-1.3,30,0,0,0,0
3/5/2021,50,25,37.5,1.4,27,0,0,0,0
3/6/2021,48,27,37.5,1,27,0,0,0,0
3/7/2021,52,25,38.5,1.6,26,0,0,0,0
3/8/2021,65,42,53.5,16.3,11,0,0,0,0
3/9/2021,69,43,56,18.4,9,0,0,0,0
3/10/2021,69,55,62,24.1,3,0,T,0,0
3/11/2021,64,43,53.5,15.2,11,0,0.06,0,0
3/12/2021,55,36,45.5,6.9,19,0,0,0,0
3/13/2021,60,33,46.5,7.5,18,0,0,0,0
3/14/2021,47,38,42.5,3.2,22,0,0,0,0
3/15/2021,40,30,35,-4.7,30,0,0.15,1.6,1
3/16/2021,38,33,35.5,-4.5,29,0,T,0,0
3/17/2021,41,33,37,-3.3,28,0,0.57,0,0
3/18/2021,43,37,40,-0.7,25,0,0.25,0,0
3/19/2021,46,33,39.5,-1.5,25,0,0,0,0
3/20/2021,58,32,45,3.7,20,0,0,0,0
3/21/2021,66,39,52.5,10.8,12,0,0,0,0
3/22/2021,68,47,57.5,15.5,7,0,0,0,0
3/23/2021,66,52,59,16.6,6,0,0.14,0,0
3/24/2021,60,48,54,11.3,11,0,T,0,0
3/25/2021,50,38,44,1,21,0,0.2,0,0
3/26/2021,42,36,39,-4.4,26,0,0.04,0,0
3/27/2021,66,37,51.5,7.8,13,0,T,0,0
3/28/2021,52,34,43,-1.1,22,0,T,0,0
3/29/2021,62,32,47,2.6,18,0,0,0,0
3/30/2021,69,45,57,12.3,8,0,T,0,0
3/31/2021,45,34,39.5,-5.6,25,0,T,T,0
4/1/2021,39,26,32.5,-12.9,32,0,T,T,0
4/2/2021,51,26,38.5,-7.3,26,0,0,0,0
4/3/2021,71,40,55.5,9.3,9,0,0,0,0
4/4/2021,76,44,60,13.5,5,0,0,0,0
4/5/2021,78,59,68.5,21.6,0,4,T,0,0
4/6/2021,82,58,70,22.8,0,5,0,0,0
4/7/2021,82,61,71.5,23.9,0,7,T,0,0
4/8/2021,69,50,59.5,11.5,5,0,0.37,0,0
4/9/2021,63,50,56.5,8.2,8,0,0.01,0,0
4/10/2021,56,47,51.5,2.8,13,0,0.21,0,0
4/11/2021,56,45,50.5,1.4,14,0,0.03,0,0
4/12/2021,64,48,56,6.5,9,0,0.01,0,0
4/13/2021,55,43,49,-0.9,16,0,0,0,0
4/14/2021,52,36,44,-6.2,21,0,0,0,0
4/15/2021,56,39,47.5,-3.1,17,0,0,0,0
4/16/2021,52,40,46,-5,19,0,0,0,0
4/17/2021,57,37,47,-4.4,18,0,0,0,0
4/18/2021,64,39,51.5,-0.3,13,0,0,0,0
4/19/2021,54,41,47.5,-4.7,17,0,0.15,0,0
4/20/2021,42,33,37.5,-15.1,27,0,0.08,T,0
4/21/2021,51,34,42.5,-10.4,22,0,T,T,0
4/22/2021,60,31,45.5,-7.8,19,0,0,0,0
4/23/2021,63,44,53.5,-0.2,11,0,0,0,0
4/24/2021,62,46,54,-0.1,11,0,0.03,0,0
4/25/2021,48,40,44,-10.5,21,0,0,0,0
4/26/2021,79,40,59.5,4.6,5,0,0,0,0
4/27/2021,87,58,72.5,17.3,0,8,0,0,0
4/28/2021,58,45,51.5,-4.1,13,0,0.75,0,0
4/29/2021,64,47,55.5,-0.5,9,0,0.07,0,0
