Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
B6,1/2/2021,312,N337JB,BOS,13:32,13:26,133,122,-6,13:40,14,0,0,0,0,0
B6,1/2/2021,563,N571JB,FLL,6:00,5:54,187,185,-6,6:07,13,0,0,0,0,0
B6,1/2/2021,2906,N296JB,JFK,20:30,21:22,120,108,52,21:34,12,27,0,0,0,13
B6,1/3/2021,312,N184JB,BOS,13:32,13:43,133,136,11,13:53,10,0,0,0,0,0
B6,1/3/2021,563,N585JB,FLL,6:00,6:01,187,202,1,6:39,38,1,0,15,0,0
B6,1/3/2021,2906,N565JB,JFK,16:38,19:03,125,134,145,19:30,27,37,0,9,0,108
B6,1/4/2021,312,N323JB,BOS,13:32,13:21,133,139,-11,13:39,18,0,0,0,0,0
B6,1/4/2021,563,N588JB,FLL,6:00,5:54,187,201,-6,6:29,35,0,0,0,0,0
B6,1/4/2021,2906,N712JB,JFK,16:38,16:22,125,109,-16,16:32,10,0,0,0,0,0
B6,1/5/2021,312,N249JB,BOS,11:31,11:19,131,128,-12,11:29,10,0,0,0,0,0
B6,1/5/2021,463,N627JB,FLL,6:00,5:48,187,171,-12,6:05,17,0,0,0,0,0
B6,1/5/2021,563,N827JB,FLL,18:20,18:25,177,172,5,18:41,16,0,0,0,0,0
B6,1/6/2021,312,N258JB,BOS,11:31,11:13,131,126,-18,11:24,11,0,0,0,0,0
B6,1/6/2021,563,N584JB,FLL,18:20,18:06,177,171,-14,18:19,13,0,0,0,0,0
B6,1/7/2021,312,N266JB,BOS,11:31,11:18,131,128,-13,11:33,15,0,0,0,0,0
B6,1/7/2021,563,N547JB,FLL,18:20,18:08,177,184,-12,18:36,28,0,0,0,0,0
B6,1/8/2021,312,N318JB,BOS,11:31,11:25,131,145,-6,11:52,27,0,0,0,0,0
B6,1/8/2021,563,N556JB,FLL,18:20,18:23,177,167,3,18:36,13,0,0,0,0,0
B6,1/9/2021,312,N238JB,BOS,11:31,11:13,131,138,-18,11:26,13,0,0,0,0,0
B6,1/10/2021,312,N283JB,BOS,11:31,11:18,131,146,-13,11:46,28,0,0,0,0,0
B6,1/10/2021,563,N587JB,FLL,18:20,18:14,177,184,-6,18:37,23,0,0,0,0,0
B6,1/11/2021,312,N192JB,BOS,11:31,11:14,131,122,-17,11:26,12,0,0,0,0,0
B6,1/11/2021,563,N612JB,FLL,18:20,18:10,177,180,-10,18:30,20,0,0,0,0,0
B6,1/12/2021,563,N588JB,FLL,18:20,18:11,177,181,-9,18:27,16,0,0,0,0,0
B6,1/13/2021,563,N729JB,FLL,18:20,19:48,177,174,88,20:02,14,5,0,0,0,80
B6,1/14/2021,312,N247JB,BOS,11:31,11:20,131,120,-11,11:35,15,0,0,0,0,0
B6,1/14/2021,563,N618JB,FLL,18:20,19:10,177,191,50,19:28,18,6,0,14,0,44
B6,1/15/2021,312,N266JB,BOS,11:31,11:27,131,153,-4,12:01,34,0,0,18,0,0
B6,1/15/2021,563,N652JB,FLL,18:20,18:12,177,186,-8,18:31,19,0,0,0,0,0
B6,1/17/2021,312,N304JB,BOS,11:31,11:23,131,155,-8,11:58,35,0,0,16,0,0
B6,1/17/2021,563,N634JB,FLL,18:20,18:09,177,193,-11,18:29,20,0,0,0,0,0
B6,1/18/2021,312,N304JB,BOS,11:31,11:21,131,126,-10,11:32,11,0,0,0,0,0
B6,1/18/2021,563,N510JB,FLL,18:20,18:13,177,168,-7,18:26,13,0,0,0,0,0
B6,1/19/2021,563,N589JB,FLL,18:20,18:20,177,194,0,19:02,42,0,0,17,0,0
B6,1/20/2021,563,N709JB,FLL,18:20,18:23,177,159,3,18:43,20,0,0,0,0,0
B6,1/21/2021,312,N296JB,BOS,11:31,11:13,131,110,-18,11:25,12,0,0,0,0,0
