Date,MaxT,MinT,AvgT,Tdeparture,HDD,CDD,Precipitation,New Snow,Snow Depth
1/1/2021,35,19,27,0.2,38,0,0.38,1.3,1
1/2/2021,35,28,31.5,4.8,33,0,T,0,2
1/3/2021,33,26,29.5,3,35,0,0.03,0.4,2
1/4/2021,30,24,27,0.7,38,0,T,T,2
1/5/2021,37,29,33,6.8,32,0,0,0,2
1/6/2021,39,31,35,9,30,0,0,0,2
1/7/2021,38,33,35.5,9.7,29,0,0,0,2
1/8/2021,36,30,33,7.3,32,0,0.02,0.2,1
1/9/2021,37,28,32.5,6.9,32,0,0,0,1
1/10/2021,29,24,26.5,1.1,38,0,0,0,1
1/11/2021,30,22,26,0.7,39,0,T,T,1
1/12/2021,37,27,32,6.8,33,0,0,0,1
1/13/2021,41,31,36,10.9,29,0,0,0,1
1/14/2021,40,32,36,11,29,0,0.14,T,0
1/15/2021,39,30,34.5,9.6,30,0,0.01,T,0
1/16/2021,36,30,33,8.2,32,0,0.07,0.7,1
1/17/2021,34,27,30.5,5.8,34,0,0.05,0.7,1
1/18/2021,30,23,26.5,1.9,38,0,T,0.1,1
1/19/2021,32,20,26,1.4,39,0,0.05,1.7,1
1/20/2021,34,13,23.5,-1.1,41,0,T,T,1
1/21/2021,39,30,34.5,10,30,0,0,0,1
1/22/2021,30,12,21,-3.5,44,0,0,0,0
1/23/2021,30,10,20,-4.5,45,0,0,0,0
1/24/2021,34,27,30.5,6,34,0,0.02,T,0
1/25/2021,34,28,31,6.4,34,0,0.05,0.7,0
1/26/2021,32,25,28.5,3.9,36,0,0.48,5.3,3
1/27/2021,27,14,20.5,-4.2,44,0,T,T,6
1/28/2021,26,8,17,-7.8,48,0,0,0,5
1/29/2021,32,16,24,-0.8,41,0,0,0,5
1/30/2021,34,29,31.5,6.5,33,0,0.36,4.5,4
1/31/2021,32,30,31,5.9,34,0,0.29,6.3,11
2/1/2021,33,22,27.5,2.3,37,0,0,0,14
2/2/2021,33,21,27,1.6,38,0,0,0,13
2/3/2021,36,17,26.5,1,38,0,0,0,12
2/4/2021,39,19,29,3.3,36,0,0.31,2.3,11
2/5/2021,19,8,13.5,-12.4,51,0,T,0.1,12
2/6/2021,12,2,7,-19.1,58,0,0.07,0.7,11
2/7/2021,5,-7,-1,-27.4,66,0,0,0,12
2/8/2021,15,1,8,-18.6,57,0,0.08,3.9,11
2/9/2021,18,0,9,-17.9,56,0,T,0.1,14
2/10/2021,16,6,11,-16.1,54,0,0.03,0.5,13
2/11/2021,21,2,11.5,-15.9,53,0,0.01,0.4,13
2/12/2021,17,7,12,-15.7,53,0,0.01,0.1,13
